epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.537,1.41114,3.67544,1.74514,0.52098,0.33485,0.34164,0.21752,1.24981,2.70967,1.67353,0.000105984,0.000105984,0.000105984
2,134.16,1.25533,2.26889,1.48824,0.39453,0.49424,0.43147,0.25987,1.42248,2.2019,1.82153,0.000211536,0.000211536,0.000211536
3,189.557,1.25541,2.05922,1.45648,0.43082,0.58881,0.49436,0.29569,1.36445,2.21666,1.68471,0.000314956,0.000314956,0.000314956
4,245.674,1.24671,1.81297,1.44192,0.58684,0.54491,0.53826,0.37109,1.18817,2.45953,1.59036,0.000313407,0.000313407,0.000313407
5,302.42,1.21007,1.66793,1.43047,0.44354,0.71139,0.62387,0.43164,1.14278,1.97463,1.49959,0.000310209,0.000310209,0.000310209
6,363.853,1.17646,1.5189,1.41157,0.55815,0.55568,0.61121,0.41721,1.13301,1.81096,1.51656,0.000307011,0.000307011,0.000307011
7,419.924,1.17686,1.38445,1.38915,0.59006,0.65494,0.70199,0.46529,1.2167,1.57579,1.57281,0.000303814,0.000303814,0.000303814
8,482.265,1.17859,1.39688,1.37511,0.59274,0.69388,0.70788,0.51107,1.05005,1.5357,1.37958,0.000300616,0.000300616,0.000300616
9,538.286,1.13402,1.3261,1.3688,0.63608,0.68401,0.76507,0.52835,1.15579,1.32822,1.52443,0.000297418,0.000297418,0.000297418
10,595.051,1.10451,1.26861,1.33391,0.70026,0.75732,0.82913,0.59801,1.04486,1.09763,1.38225,0.000294221,0.000294221,0.000294221
11,655.097,1.12428,1.21235,1.34827,0.67354,0.70235,0.75992,0.53504,1.09665,1.30587,1.44019,0.000291023,0.000291023,0.000291023
12,711.15,1.11372,1.20299,1.36333,0.76453,0.71558,0.83732,0.58871,1.12613,1.04677,1.44298,0.000287825,0.000287825,0.000287825
13,767.576,1.09892,1.1919,1.34366,0.76415,0.85118,0.91213,0.63395,1.07531,0.92371,1.40471,0.000284628,0.000284628,0.000284628
14,829.027,1.07518,1.10238,1.31557,0.83687,0.87559,0.94313,0.69462,1.01647,0.71934,1.34138,0.00028143,0.00028143,0.00028143
15,884.654,1.07144,1.1233,1.32114,0.83097,0.82535,0.90952,0.68249,1.00846,0.80004,1.34576,0.000278232,0.000278232,0.000278232
16,941.185,1.06441,1.03232,1.3165,0.78955,0.86722,0.90433,0.62126,1.13242,0.81752,1.44725,0.000275035,0.000275035,0.000275035
